Model Year,Regulatory Class,Vehicle Type,Production Share (%),Adjusted MPG,Adjusted MPG_City,Adjusted MPG_Hwy,Adjusted CO2 (g/mi),Adjusted CO2_City (g/mi),Adjusted CO2_Hwy (g/mi),Weight (lbs),Horsepower (hp),Footprint (sq. ft.)
"1975","All","All","100","13.1","12","14.6","681","740","608","4060","137","-"
"1975","Car","All Car","80.7","13.5","12.3","15.2","661","722","586","4057","136","-"
"1975","Car","Car SUV","0.1","11.1","10.1","12.6","799","877","703","4000","113","-"
"1975","Car","Sedan/Wagon","80.6","13.5","12.3","15.2","660","722","586","4058","136","-"
"1975","Truck","All Truck","19.3","11.6","10.9","12.7","764","814","702","4073","142","-"
"1975","Truck","Pickup","13.1","11.9","11.1","13.1","746","802","677","4012","141","-"
"1975","Truck","Truck SUV","1.7","11","10.6","11.5","806","837","769","4214","148","-"
"1975","Truck","Van","4.5","11.1","10.6","11.9","800","842","749","4196","143","-"
"1976","All","All","100","14.2","13.2","15.7","625","674","565","4079","135","-"
"1976","Car","All Car","78.9","14.9","13.7","16.6","598","649","536","4059","134","-"
"1976","Car","Car SUV","0.1","10.6","9.39","12.5","840","946","710","3986","123","-"
"1976","Car","Sedan/Wagon","78.8","14.9","13.7","16.6","598","649","536","4059","134","-"
"1976","Truck","All Truck","21.1","12.2","11.6","13.2","726","769","672","4155","141","-"
"1976","Truck","Pickup","15.1","12.4","11.7","13.4","714","757","662","4122","139","-"
"1976","Truck","Truck SUV","1.9","11.8","11.2","12.5","755","793","709","4328","142","-"
"1976","Truck","Van","4.1","11.8","11.1","12.8","754","804","694","4200","146","-"
"1977","All","All","100","15.1","14","16.6","590","635","535","3982","136","-"
"1977","Car","All Car","80.1","15.6","14.4","17.4","570","618","512","3944","133","-"
"1977","Car","Car SUV","0.1","12.2","11.2","13.6","731","792","655","4000","124","-"
"1977","Car","Sedan/Wagon","80","15.6","14.4","17.4","570","618","512","3944","133","-"
"1977","Truck","All Truck","19.9","13.3","12.6","14.2","669","703","628","4136","147","-"
"1977","Truck","Pickup","14.3","13.6","12.9","14.5","656","689","615","4092","146","-"
